feature_1,feature_2,feature_3,period,y
2021-01-04,Google,Arab,1,3
2021-01-04,Google,Arab,2,6
2021-01-04,Google,Arab,3,9
2021-01-04,Google,Arab,4,12
2021-01-04,Google,Arab,5,15
2021-01-04,Google,Arab,6,18
2021-01-04,Google,Arab,7,21
2021-01-04,Google,Arab,8,24
2021-01-04,Google,Arab,9,27
2021-01-04,Google,Arab,10,30
2021-01-04,Google,Arab,11,33
2021-01-04,Google,Arab,12,36
2021-01-04,Google,Arab,13,39
2021-01-04,Google,Arab,14,42
2021-01-04,Google,Latam,1,0.75
2021-01-04,Google,Latam,2,2.75
2021-01-04,Google,Latam,3,4.75
2021-01-04,Google,Latam,4,6.25
2021-01-04,Google,Latam,5,7.75
2021-01-04,Google,Latam,6,9.25
2021-01-04,Google,Latam,7,10.75
2021-01-04,Google,Latam,8,12.25
2021-01-04,Google,Latam,9,13
2021-01-04,Google,Latam,10,13.75
2021-01-04,Google,Latam,11,14.5
2021-01-04,Google,Latam,12,15.25
2021-01-04,Google,Latam,14,16
2021-01-04,Google,Latam,15,16.75
2021-01-04,Google,Other,1,0
2021-01-04,Google,Other,52,4
2021-01-04,Google,Tier1,1,3
2021-01-04,Google,Tier1,2,6
2021-01-04,Google,Tier1,3,9
2021-01-04,Google,Tier1,4,12
2021-01-04,Google,Tier1,5,15
2021-01-04,Google,Tier1,6,18
2021-01-04,Google,Tier1,7,21
2021-01-04,Google,Tier1,8,22.5
2021-01-04,Google,Tier1,9,24
2021-01-04,Google,Tier1,10,25.5
2021-01-04,Google,Tier1,11,27
2021-01-04,Google,Tier1,12,28.5
2021-01-04,Google,Tier1,13,30
2021-01-04,Google,Tier1,14,31.5
2021-01-04,Google,Tier1,15,33
2021-01-04,Google,Tier1,16,34.5
2021-01-04,Google,Tier1,17,36
2021-01-04,Google,Tier1,18,37.5
2021-01-04,Google,Tier1,19,39
2021-01-04,Google,Tier1,20,40.5
2021-01-04,Google,Tier1,21,42
2021-01-04,Google,Tier1,22,43.5
2021-01-04,Google,Tier1,23,45
